,W,WW,WWS,L,H,F,E,SC,MS,Z,ZZ,ZZS,TMB,TMF,ZZZ,LC,N
W,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
WW,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
WWS,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
L,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
H,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
F,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
E,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
SC,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
MS,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Z,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ZZ,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ZZS,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
TMB,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
TMF,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
ZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
LC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
