,W,WW,WWS,L,H,F,E,SC,MS,Z,ZZ,ZZS,TMB,TMF,ZZZ,LC,N,2WW
W,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
WW,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
WWS,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
L,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
H,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
F,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
E,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
SC,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
MS,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
Z,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
ZZ,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
ZZS,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
TMB,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
TMF,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
ZZZ,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
LC,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
N,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
BT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
